pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,951,0,nan,0.30999278853203566
frame_003-frame_005,896,9,0.8207480569618659,0.7744476097262049
frame_005-frame_007,830,0,nan,0.6129886878131026
frame_007-frame_009,868,2,1.0887955290107327,1.1073421745970844
frame_009-frame_011,779,5,1.7581354257528625,0.9628164391490271
frame_011-frame_013,860,34,0.9528049609268608,0.9307607824650493
frame_013-frame_015,793,4,1.2377596044616035,0.9893432113851285
frame_015-frame_017,808,3,2.810184091107611,1.0347298360912123
frame_017-frame_019,799,2,1.0573927626344504,1.1127273850531787
frame_019-frame_021,900,12,0.5171935168179081,1.1000385888625681
frame_021-frame_023,814,24,0.8849560468733076,0.8787287408581614
frame_023-frame_025,859,14,0.4719607664028217,1.1747910557704393
frame_025-frame_027,871,8,0.7306239282091822,1.090911397440601
frame_027-frame_029,863,11,0.6251423099672258,1.0639902275451023
frame_029-frame_031,736,8,0.8755834916429208,1.0254585339937239
frame_031-frame_033,850,0,nan,0.9018821961855268
frame_033-frame_035,885,0,nan,1.1085528638348565
frame_035-frame_037,838,6,0.1690926369472482,0.7850515856819464
frame_037-frame_039,839,7,0.22706034226140692,1.10271815958164
frame_039-frame_041,854,1,0.33780269968550036,1.3048652164642116
frame_041-frame_043,797,22,0.5691409472849456,1.4191566951760486
frame_043-frame_045,829,0,nan,1.1770631866206995
frame_045-frame_047,771,6,0.6455424842261721,1.1888264882741315
frame_047-frame_049,844,2,1.440694512082469,1.3272013957169724
frame_049-frame_051,756,14,1.180291825095789,1.2725647015596426
frame_051-frame_053,747,0,nan,1.0556217669118237
frame_053-frame_055,789,3,1.2952934450391314,0.9901206080347087
frame_055-frame_057,871,8,2.295112634824117,1.2999772388422852
frame_057-frame_059,853,3,1.4945025549593396,1.001110601745349
frame_059-frame_061,803,15,0.2094133012413465,1.3636493087593906
frame_061-frame_063,816,7,0.4754672145148964,1.098819381128725
frame_063-frame_065,839,23,0.5525514717881601,1.352086864874992
frame_065-frame_067,754,12,0.44167469721799674,1.2758558551951975
frame_067-frame_069,816,52,0.30320354732549976,1.4264111194997
frame_069-frame_071,769,16,0.31937055383524937,1.2512642129459044
frame_071-frame_073,759,0,nan,0.9565249741967995
frame_073-frame_075,834,5,0.4145014533912069,0.9203515420910559
frame_075-frame_077,791,0,nan,0.8806392531951215
frame_077-frame_079,867,31,0.932771605729044,1.2702058696766365
frame_079-frame_081,755,3,0.6488723773377769,0.9522731303129978
frame_081-frame_083,818,0,nan,0.7783605475389848
frame_083-frame_085,770,3,0.768601245851728,0.34551882848519266
frame_085-frame_087,656,0,nan,1.4893405775801793
frame_087-frame_089,787,0,nan,1.2728312479334278
frame_089-frame_091,771,0,nan,0.6330757346914073
frame_091-frame_093,752,0,nan,1.02570645797516
frame_093-frame_095,804,0,nan,0.6241539752089318
frame_095-frame_097,734,1,1.9541936125710473,0.7503644894771542
frame_097-frame_099,740,0,nan,0.940064948582401
frame_099-frame_101,825,3,1.5663506463344343,1.4381298254500057
frame_101-frame_103,821,4,1.518811271335038,1.0545912077410975
frame_103-frame_105,786,4,2.302608145534087,1.2276130419926268
frame_105-frame_107,919,37,0.5196254650647663,1.26590779701542
frame_107-frame_109,782,17,1.491835025809129,1.0947544085268435
frame_109-frame_111,891,29,0.22491317119495843,1.3319726040774857
frame_111-frame_113,787,1,0.12493252654598927,1.1814507390687414
frame_113-frame_115,788,3,1.158645891853895,1.329250032177839
frame_115-frame_117,778,20,0.5458912616753708,1.4334730259539015
frame_117-frame_119,841,12,1.430572942432383,1.3296053550855793
frame_119-frame_121,815,21,0.08019155051023544,1.4520057375700943
frame_121-frame_123,905,33,0.37289100736683667,1.3571550040060107
frame_123-frame_125,874,29,0.4524294406278807,1.4185820446718669
frame_125-frame_127,812,20,1.6257496538983807,1.3334892482467122
frame_127-frame_129,878,23,1.0058581824153547,1.3810283614713248
frame_129-frame_131,833,12,0.4532296084727568,1.0555190843667437
frame_131-frame_133,887,66,0.4231801714854287,1.5434220076443153
frame_133-frame_135,900,33,0.4581088934942257,1.1993257337280152
frame_135-frame_137,881,22,0.25322575360056676,1.2240587398140919
frame_137-frame_139,760,0,nan,1.1030785090815658
frame_139-frame_141,879,26,1.5719529675320636,1.2742976602405167
frame_141-frame_143,856,6,1.2725636290522977,1.1197837718790526
frame_143-frame_145,752,0,nan,1.2471620511655055
frame_145-frame_147,867,15,0.4834377931403856,1.1156974611671349
frame_147-frame_149,874,62,0.9056216373562457,1.6123302278039975
frame_149-frame_151,853,3,1.018201823116431,0.9569332521445097
frame_151-frame_153,876,18,0.5690598110622699,1.2780319123485506
