pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_006,729,58,0.23555336919453168,1.1409009430394315
frame_006-frame_011,179,127,0.6542652099538699,5.166626959587544
frame_011-frame_016,110,98,0.5282136047459751,7.067068982448884
frame_016-frame_021,161,141,0.5978452374684614,4.858953049508606
frame_021-frame_026,91,91,0.48311570641459156,7.1048703354243266
frame_026-frame_031,101,99,0.32104717989721687,7.420237521175536
frame_031-frame_036,92,48,0.5285435597501771,2.2233037415405503
frame_036-frame_041,124,31,0.4721882343069062,1.2315584913401199
frame_041-frame_046,117,106,0.4450441701985649,4.977322611873762
frame_046-frame_051,125,117,0.5509036833530602,5.137292740536715
frame_051-frame_056,141,141,0.8070009604554902,4.78255552871686
frame_056-frame_061,119,21,0.6565539882484228,0.9638029948289374
frame_061-frame_066,143,90,0.7895310280637112,3.150008841766737
frame_066-frame_071,196,175,0.9585500048504645,8.752301767644528
frame_071-frame_076,126,106,0.8010164187405893,6.385707039789213
frame_076-frame_081,132,102,0.3344113902016256,2.9822782199076023
frame_081-frame_086,159,43,0.9466777822335377,1.8403911478333328
frame_086-frame_091,367,247,1.127627063195762,3.7373422663418667
frame_091-frame_096,294,229,0.9299528085105728,4.260775685176364
frame_096-frame_101,147,47,0.8046026957417554,2.061436394539242
frame_101-frame_106,188,162,0.41866515097149426,4.436273264640906
frame_106-frame_111,108,101,1.1497012295877014,10.716186168650115
frame_111-frame_116,185,54,1.20547513930658,1.4654461949369806
frame_116-frame_121,77,69,0.5053119972667859,12.479148753235311
frame_121-frame_126,193,185,0.4870646778537763,5.34066155380583
