filename,detector,num_keypoints,descriptor_shape
frame_118.jpg,SIFT,102464,"[102464, 128]"
frame_119.jpg,SIFT,99944,"[99944, 128]"
frame_120.jpg,SIFT,93994,"[93994, 128]"
frame_121.jpg,SIFT,100396,"[100396, 128]"
frame_122.jpg,SIFT,96672,"[96672, 128]"
frame_123.jpg,SIFT,95495,"[95495, 128]"
frame_124.jpg,SIFT,102954,"[102954, 128]"
frame_125.jpg,SIFT,98793,"[98793, 128]"
frame_126.jpg,SIFT,93191,"[93191, 128]"
frame_127.jpg,SIFT,104890,"[104890, 128]"
frame_128.jpg,SIFT,83998,"[83998, 128]"
frame_129.jpg,SIFT,105549,"[105549, 128]"
frame_130.jpg,SIFT,103620,"[103620, 128]"
frame_131.jpg,SIFT,96984,"[96984, 128]"
frame_132.jpg,SIFT,87037,"[87037, 128]"
frame_133.jpg,SIFT,87149,"[87149, 128]"
frame_134.jpg,SIFT,89020,"[89020, 128]"
frame_135.jpg,SIFT,97523,"[97523, 128]"
frame_136.jpg,SIFT,103714,"[103714, 128]"
frame_137.jpg,SIFT,91805,"[91805, 128]"
frame_138.jpg,SIFT,102873,"[102873, 128]"
frame_139.jpg,SIFT,115932,"[115932, 128]"
frame_140.jpg,SIFT,117280,"[117280, 128]"
frame_141.jpg,SIFT,120911,"[120911, 128]"
frame_142.jpg,SIFT,112291,"[112291, 128]"
frame_143.jpg,SIFT,94488,"[94488, 128]"
frame_144.jpg,SIFT,101787,"[101787, 128]"
frame_145.jpg,SIFT,113453,"[113453, 128]"
frame_146.jpg,SIFT,102624,"[102624, 128]"
frame_147.jpg,SIFT,108071,"[108071, 128]"
frame_148.jpg,SIFT,75816,"[75816, 128]"
frame_149.jpg,SIFT,103791,"[103791, 128]"
frame_150.jpg,SIFT,81510,"[81510, 128]"
frame_151.jpg,SIFT,70703,"[70703, 128]"
frame_152.jpg,SIFT,63568,"[63568, 128]"
frame_153.jpg,SIFT,68953,"[68953, 128]"
frame_154.jpg,SIFT,79831,"[79831, 128]"
frame_155.jpg,SIFT,96726,"[96726, 128]"
frame_156.jpg,SIFT,108896,"[108896, 128]"
frame_157.jpg,SIFT,108157,"[108157, 128]"
frame_158.jpg,SIFT,111423,"[111423, 128]"
frame_159.jpg,SIFT,102012,"[102012, 128]"
frame_160.jpg,SIFT,106806,"[106806, 128]"
frame_161.jpg,SIFT,115947,"[115947, 128]"
frame_162.jpg,SIFT,128454,"[128454, 128]"
frame_163.jpg,SIFT,150897,"[150897, 128]"
frame_164.jpg,SIFT,145298,"[145298, 128]"
frame_165.jpg,SIFT,129328,"[129328, 128]"
frame_166.jpg,SIFT,137224,"[137224, 128]"
frame_167.jpg,SIFT,139234,"[139234, 128]"
frame_168.jpg,SIFT,126203,"[126203, 128]"
frame_169.jpg,SIFT,127244,"[127244, 128]"
frame_170.jpg,SIFT,119409,"[119409, 128]"
frame_171.jpg,SIFT,124664,"[124664, 128]"
frame_172.jpg,SIFT,137140,"[137140, 128]"
frame_173.jpg,SIFT,137668,"[137668, 128]"
frame_174.jpg,SIFT,137779,"[137779, 128]"
frame_175.jpg,SIFT,130905,"[130905, 128]"
frame_176.jpg,SIFT,142586,"[142586, 128]"
frame_177.jpg,SIFT,136845,"[136845, 128]"
frame_178.jpg,SIFT,142804,"[142804, 128]"
frame_179.jpg,SIFT,136053,"[136053, 128]"
frame_180.jpg,SIFT,139757,"[139757, 128]"
frame_181.jpg,SIFT,135559,"[135559, 128]"
frame_182.jpg,SIFT,135301,"[135301, 128]"
frame_183.jpg,SIFT,145004,"[145004, 128]"
frame_184.jpg,SIFT,112876,"[112876, 128]"
frame_185.jpg,SIFT,150842,"[150842, 128]"
frame_186.jpg,SIFT,114765,"[114765, 128]"
frame_187.jpg,SIFT,140230,"[140230, 128]"
frame_188.jpg,SIFT,138319,"[138319, 128]"
frame_189.jpg,SIFT,147683,"[147683, 128]"
frame_190.jpg,SIFT,146708,"[146708, 128]"
frame_191.jpg,SIFT,158996,"[158996, 128]"
frame_192.jpg,SIFT,141859,"[141859, 128]"
frame_193.jpg,SIFT,148087,"[148087, 128]"
