scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
reaching_high_sculpture_fps2,frame_001-frame_006 (non-sequential),1500,1170,0.78,0.282,OK
reaching_high_sculpture_fps2,frame_006-frame_011 (non-sequential),1334,821,0.615,0.386,OK
reaching_high_sculpture_fps2,frame_011-frame_016 (non-sequential),1112,666,0.599,0.492,OK
reaching_high_sculpture_fps2,frame_016-frame_021 (non-sequential),1270,770,0.606,0.448,OK
reaching_high_sculpture_fps2,frame_021-frame_026 (non-sequential),1278,812,0.635,0.319,OK
reaching_high_sculpture_fps2,frame_026-frame_031 (non-sequential),1373,864,0.629,0.646,OK
reaching_high_sculpture_fps2,frame_031-frame_036 (non-sequential),1048,535,0.51,0.436,OK
reaching_high_sculpture_fps2,frame_036-frame_041 (non-sequential),1143,584,0.511,0.272,OK
reaching_high_sculpture_fps2,frame_041-frame_046 (non-sequential),1230,728,0.592,0.508,OK
reaching_high_sculpture_fps2,frame_046-frame_051 (non-sequential),1500,922,0.615,0.229,OK
reaching_high_sculpture_fps2,frame_051-frame_056 (non-sequential),1163,750,0.645,0.353,OK
reaching_high_sculpture_fps2,frame_056-frame_061 (non-sequential),1253,753,0.601,0.413,OK
reaching_high_sculpture_fps2,frame_061-frame_066 (non-sequential),1240,759,0.612,0.24,OK
reaching_high_sculpture_fps2,frame_066-frame_071 (non-sequential),1463,992,0.678,0.202,OK
reaching_high_sculpture_fps2,frame_071-frame_076 (non-sequential),1162,626,0.539,0.5,OK
reaching_high_sculpture_fps2,frame_076-frame_081 (non-sequential),1500,1033,0.689,0.338,OK
reaching_high_sculpture_fps2,frame_081-frame_086 (non-sequential),1254,670,0.534,0.57,OK
reaching_high_sculpture_fps2,frame_086-frame_091 (non-sequential),1485,888,0.598,0.543,OK
reaching_high_sculpture_fps2,frame_091-frame_096 (non-sequential),1085,597,0.55,0.35,OK
reaching_high_sculpture_fps2,frame_096-frame_101 (non-sequential),1262,852,0.675,0.548,OK
reaching_high_sculpture_fps2,frame_101-frame_106 (non-sequential),1102,635,0.576,0.668,OK
reaching_high_sculpture_fps2,frame_106-frame_111 (non-sequential),1444,848,0.587,1.738,OK
reaching_high_sculpture_fps2,frame_111-frame_116 (non-sequential),1292,778,0.602,0.43,OK
reaching_high_sculpture_fps2,frame_116-frame_121 (non-sequential),1500,883,0.589,0.485,OK
reaching_high_sculpture_fps2,frame_121-frame_126 (non-sequential),1434,676,0.471,0.394,OK
reaching_high_sculpture_fps2,frame_126-frame_131 (non-sequential),1500,831,0.554,0.683,OK
reaching_high_sculpture_fps2,frame_131-frame_136 (non-sequential),1500,955,0.637,0.785,OK
reaching_high_sculpture_fps2,frame_136-frame_141 (non-sequential),1500,908,0.605,0.297,OK
reaching_high_sculpture_fps2,frame_141-frame_146 (non-sequential),1500,807,0.538,0.583,OK
reaching_high_sculpture_fps2,frame_146-frame_151 (non-sequential),1500,901,0.601,0.372,OK
reaching_high_sculpture_fps2,frame_151-frame_156 (non-sequential),1500,1011,0.674,0.711,OK
reaching_high_sculpture_fps2,frame_156-frame_161 (non-sequential),1500,921,0.614,0.562,OK
reaching_high_sculpture_fps2,frame_161-frame_166 (non-sequential),1500,840,0.56,0.358,OK
reaching_high_sculpture_fps2,frame_166-frame_171 (non-sequential),1004,458,0.456,0.379,OK
reaching_high_sculpture_fps2,frame_171-frame_176 (non-sequential),709,363,0.512,0.361,OK
reaching_high_sculpture_fps2,frame_176-frame_181 (non-sequential),824,462,0.561,1.336,OK
reaching_high_sculpture_fps2,frame_181-frame_186 (non-sequential),808,388,0.48,0.468,OK
reaching_high_sculpture_fps2,frame_186-frame_191 (non-sequential),1442,810,0.562,0.403,OK
reaching_high_sculpture_fps2,frame_191-frame_196 (non-sequential),1378,848,0.615,0.493,OK
reaching_high_sculpture_fps2,frame_196-frame_201 (non-sequential),843,420,0.498,0.45,OK
reaching_high_sculpture_fps2,frame_201-frame_206 (non-sequential),1145,735,0.642,0.426,OK
reaching_high_sculpture_fps2,frame_206-frame_211 (non-sequential),1488,934,0.628,0.537,OK
reaching_high_sculpture_fps2,frame_211-frame_216 (non-sequential),1500,1199,0.799,0.578,OK
