scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_114-frame_115,1369,707,0.516,3.548,OK
arch,frame_116-frame_117,874,389,0.445,3.721,OK
arch,frame_117-frame_118,781,406,0.52,2.98,OK
arch,frame_118-frame_119,972,526,0.541,0.768,OK
arch,frame_119-frame_120,782,372,0.476,0.405,OK
arch,frame_120-frame_121,1055,565,0.536,1.973,OK
arch,frame_121-frame_122,944,419,0.444,1.752,OK
arch,frame_122-frame_123,981,510,0.52,0.457,OK
arch,frame_123-frame_124,1046,561,0.536,0.651,OK
arch,frame_124-frame_125,1169,662,0.566,0.943,OK
arch,frame_125-frame_126,1500,880,0.587,0.676,OK
