pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_006,371,70,0.40159770884860524,0.09159400743453312
frame_006-frame_011,316,33,0.2646893859634711,0.207708094583744
frame_011-frame_016,349,59,0.16128748950811433,0.17931271010938057
frame_016-frame_021,310,63,0.37517479026988637,0.5176806218532787
frame_021-frame_026,309,62,0.43221782191957514,0.07686645933751213
frame_026-frame_031,292,56,0.16505218148177805,0.12644923375627018
frame_031-frame_036,287,66,0.19460233550403483,0.09383312411089796
frame_036-frame_041,269,68,0.20635204474732086,0.2241935974782089
frame_041-frame_046,306,102,0.35050470297758174,0.23734135250235022
frame_046-frame_051,301,102,0.24697717757097842,0.16377703352920575
frame_051-frame_056,319,39,0.7024055979527237,0.05835703102000622
frame_056-frame_061,312,69,0.1605104257017625,0.5291080231637191
frame_061-frame_066,339,54,0.15089772854976619,0.2779515735397296
frame_066-frame_071,344,52,0.4053801479771805,0.2063950290068231
frame_071-frame_076,300,56,0.23555201460319541,0.3886695793042648
frame_076-frame_081,350,50,0.3177283547314028,0.18043790600236786
frame_081-frame_086,273,67,0.13016327578452344,0.4376101728458097
frame_086-frame_091,328,121,0.2372364433193535,0.6299510568763224
frame_091-frame_096,284,74,0.2546659913917471,0.8470025848197114
frame_096-frame_101,348,91,0.4364911700774481,0.8791714797470558
frame_101-frame_106,292,126,0.22927535408502608,1.5145517745773445
frame_106-frame_111,306,106,0.14633677959681013,0.6615228922370173
frame_111-frame_116,332,71,0.18952451608739662,1.1050885990286028
frame_116-frame_121,285,69,0.336865076366346,0.9381192305809721
frame_121-frame_126,283,104,0.29766059863825023,1.1251595374629022
frame_126-frame_131,337,93,0.23256350038679716,0.45507420947654037
frame_131-frame_136,316,76,0.40236754164102656,0.9896612116979038
frame_136-frame_141,369,116,0.7920992467602748,1.5991978655119896
frame_141-frame_146,311,161,0.4759021469847743,8.092767986596469
frame_146-frame_151,338,154,0.3950008180882156,1.7427889786907946
frame_151-frame_156,321,189,0.20869570803336007,3.1136735950725667
frame_156-frame_161,303,92,0.3463713686128306,1.116748725416662
frame_161-frame_166,291,152,0.2835911405257559,2.04078557070554
frame_166-frame_171,244,91,0.24791721406073808,1.519791872916239
frame_171-frame_176,298,184,0.1829190080321663,3.1379937509612166
frame_176-frame_181,264,73,0.3485481856525753,0.3818892115907335
frame_181-frame_186,257,122,0.24217290483283188,1.1192505259193117
frame_186-frame_191,277,71,0.41346381640779684,0.18793349231094
frame_191-frame_196,326,103,0.3137433554942498,0.5496734727082959
frame_196-frame_201,247,149,0.21385799958071028,9.955623077873044
frame_201-frame_206,306,85,0.14217028453488822,0.15336055171389495
frame_206-frame_211,325,99,0.44254368430785396,0.24083080738638893
frame_211-frame_216,369,62,0.48851422200464395,0.3741573535980701
