# 3D point list
# POINT3D_ID, X, Y, Z, R, G, B, ERROR
274 -1.430342109 3.010783860 27.344038047 255 255 255 1.0
275 -1.375929202 -3.852568342 28.377922185 255 255 255 1.0
276 -2.735722320 -4.809645697 31.154344085 255 255 255 1.0
277 14.921798286 -4.012824448 75.944143819 255 255 255 1.0
278 -3.633898657 -4.004350526 29.157592986 255 255 255 1.0
279 -247.192029922 28.816499103 888.596283984 255 255 255 1.0
280 -2.636507455 3.611135059 26.563975491 255 255 255 1.0
281 -106.332089766 7.703929435 350.097282112 255 255 255 1.0
282 44.994206693 -52.966596548 210.914950708 255 255 255 1.0
283 6.650339864 -36.504336357 144.256067468 255 255 255 1.0
284 -5.501132126 -4.136054058 29.635725987 255 255 255 1.0
285 26.117817891 -36.288783768 141.816444426 255 255 255 1.0
286 -3.517312092 -4.618273241 30.631253528 255 255 255 1.0
287 -17.199097456 3.701441592 52.111745954 255 255 255 1.0
288 -4.940372199 -3.875934591 29.593047709 255 255 255 1.0
289 1.473366955 -31.804831473 135.982449767 255 255 255 1.0
290 -2.919195938 2.857168918 28.616080751 255 255 255 1.0
291 -3.507939410 -6.378773104 34.073994418 255 255 255 1.0
292 44.122082406 -50.365046776 203.776685851 255 255 255 1.0
293 30.081412004 -21.512785651 113.665822855 255 255 255 1.0
294 167.342767093 24.845628469 788.052729405 255 255 255 1.0
295 4.215291253 -34.420357012 146.171879324 255 255 255 1.0
296 -319.271729201 14.493518522 1063.369515279 255 255 255 1.0
297 -4.910202184 -3.611300184 28.381848464 255 255 255 1.0
298 3.542559310 -3.898141645 32.760898688 255 255 255 1.0
299 43.157232789 -62.928118567 225.149642234 255 255 255 1.0
300 -5.470351808 -3.967466872 28.480658202 255 255 255 1.0
301 -3.679023942 -4.085573906 29.087125561 255 255 255 1.0
302 16.054759416 -5.903963470 79.763170861 255 255 255 1.0
303 0.830653722 2.792149704 29.594605187 255 255 255 1.0
304 -253.317121218 29.059777614 852.804919750 255 255 255 1.0
305 -4.706618879 2.497289601 29.279790990 255 255 255 1.0
306 -2.602483242 2.422628556 37.248947461 255 255 255 1.0
307 0.363898345 -4.193801905 28.978241200 255 255 255 1.0
308 13.878525573 -30.169256565 127.073604725 255 255 255 1.0
309 -6.613876949 2.582647706 31.107905090 255 255 255 1.0
310 -1.933077931 -27.549034232 121.554856160 255 255 255 1.0
311 -1.029556042 -4.083733648 29.520620529 255 255 255 1.0
312 -3.845808143 -6.365565574 34.345541085 255 255 255 1.0
313 -3.573680792 -6.342873506 34.012160597 255 255 255 1.0
314 -2.664963234 3.050534629 36.866082400 255 255 255 1.0
315 0.846434020 -4.057019870 28.510271410 255 255 255 1.0
316 -1.817403434 3.101989498 28.994620271 255 255 255 1.0
317 -16.894513123 3.602429381 51.826627037 255 255 255 1.0
318 -14.904456449 3.928039489 44.705398752 255 255 255 1.0
319 1.111466164 1.703681355 12.852567420 255 255 255 1.0
320 -3.905862881 -2.433777345 30.538327505 255 255 255 1.0
321 0.809446501 -24.357681302 105.671889882 255 255 255 1.0
322 1.592292843 -33.177458895 126.929777944 255 255 255 1.0
323 2.157804713 -36.124539358 128.552908483 255 255 255 1.0
324 -4.717803440 -3.893477624 27.263678296 255 255 255 1.0
325 -0.851259037 3.511210036 23.471203739 255 255 255 1.0
326 20.647411847 -17.199308809 84.455521575 255 255 255 1.0
327 24.155210453 -19.504958174 94.142219558 255 255 255 1.0
328 -3.572302667 -3.385168341 25.438612734 255 255 255 1.0
329 -4.551991162 -3.529429297 25.923885537 255 255 255 1.0
330 -37.988793720 -31.125570586 179.153277033 255 255 255 1.0
331 -5.260111939 -3.838204823 27.566247457 255 255 255 1.0
332 -0.269002445 -3.640043638 27.613400602 255 255 255 1.0
333 -37.186883732 -31.748176627 181.042767749 255 255 255 1.0
334 0.702453723 2.402201324 27.267275887 255 255 255 1.0
335 -2.261330212 3.490543752 25.457469379 255 255 255 1.0
336 -50.665075336 -20.456293749 159.267187801 255 255 255 1.0
337 -0.945362238 3.770044068 24.509905257 255 255 255 1.0
338 -29.751709257 2.088492544 100.614744411 255 255 255 1.0
339 -2.477792261 -3.534740315 27.615389776 255 255 255 1.0
340 1.963126601 -23.062164801 85.056061475 255 255 255 1.0
341 -6.958867963 -18.680090649 85.905077939 255 255 255 1.0
342 -3.299546485 -3.527975140 26.424687272 255 255 255 1.0
343 -0.900938951 -3.526537252 27.626402474 255 255 255 1.0
344 -33.020427426 1.797256846 104.987432272 255 255 255 1.0
345 -2.166013566 -3.577549631 26.446329604 255 255 255 1.0
346 -1.515204078 3.453322824 25.275781727 255 255 255 1.0
347 -8.043378616 -3.538220405 28.451013736 255 255 255 1.0
348 -1.643063958 -3.724506166 27.353518318 255 255 255 1.0
349 -41.257727900 -19.180697154 137.990034023 255 255 255 1.0
350 -29.315266669 -24.707558292 145.030258411 255 255 255 1.0
351 -6.505208122 -3.465002836 28.238231734 255 255 255 1.0
352 -7.665116361 -3.470358378 29.609746230 255 255 255 1.0
353 -6.627343640 -3.293366222 28.465275427 255 255 255 1.0
354 -4.400026363 -3.747227456 25.840953396 255 255 255 1.0
355 -6.489810470 -3.535160047 28.586466839 255 255 255 1.0
356 -1.421395825 -3.637186912 27.598774501 255 255 255 1.0
357 -0.901677681 -3.633131029 26.530572888 255 255 255 1.0
358 -7.106541241 -3.210513768 27.134384340 255 255 255 1.0
359 -0.908240673 -3.736911203 26.453556178 255 255 255 1.0
360 -5.110352015 1.598000534 94.175791338 255 255 255 1.0
361 -18.734296494 2.461806736 84.068484451 255 255 255 1.0
362 -4.450589470 -3.834685007 27.264393182 255 255 255 1.0
363 1.223891485 -3.972078214 27.912022314 255 255 255 1.0
364 2.264349581 -21.625589527 91.091005959 255 255 255 1.0
365 28.240181691 -19.071249135 114.991337022 255 255 255 1.0
366 -30.339320263 2.153242496 100.485778714 255 255 255 1.0
367 -0.414170653 -3.621043273 27.774542945 255 255 255 1.0
368 -3.220781881 2.838835930 26.829925511 255 255 255 1.0
369 -25.214688451 1.294787029 82.498182734 255 255 255 1.0
370 -31.213266754 1.453893901 98.283639741 255 255 255 1.0
371 2.880832241 -3.534566630 29.798748614 255 255 255 1.0
372 -4.742655115 -3.797885824 27.397703040 255 255 255 1.0
373 2.779416065 -19.215955960 85.374770247 255 255 255 1.0
374 -2.499642349 -3.384022847 26.135821298 255 255 255 1.0
375 0.586413711 -3.824354818 26.494251555 255 255 255 1.0
376 -29.398642343 3.230510345 104.168908080 255 255 255 1.0
377 -3.211687997 -5.785404558 31.278157274 255 255 255 1.0
378 3.050212683 -23.227944080 90.090200462 255 255 255 1.0
379 -0.617950644 -17.331849251 74.042907685 255 255 255 1.0
380 3.403460935 -19.080070015 81.810327578 255 255 255 1.0
381 -0.280015944 -20.253828146 90.208160041 255 255 255 1.0
382 -27.068949150 2.887956017 89.990191171 255 255 255 1.0
383 -5.206389939 -3.825093243 27.562084606 255 255 255 1.0
384 17.712602372 -34.555065689 115.449386359 255 255 255 1.0
385 -8.652873231 -3.658447993 30.059708315 255 255 255 1.0
386 1.985125433 -3.519296773 28.925016469 255 255 255 1.0
387 -0.634427698 3.437824538 23.156291045 255 255 255 1.0
388 -6.807110430 -3.282257139 28.464900474 255 255 255 1.0
389 -29.640435571 2.357245772 103.100358646 255 255 255 1.0
390 1.774121397 -3.650960645 28.822174735 255 255 255 1.0
391 1.250337945 -19.284416155 83.615307407 255 255 255 1.0
392 22.309697264 -32.551838227 117.523463516 255 255 255 1.0
393 4.452043680 -3.787575259 31.433345697 255 255 255 1.0
394 -53.418661531 -24.375996930 178.366381771 255 255 255 1.0
395 -4.961873343 -1.783355314 95.988069872 255 255 255 1.0
396 -4.289132870 -3.798074830 27.351037400 255 255 255 1.0
397 -4.216017533 -3.494874311 25.955055912 255 255 255 1.0
398 -1.452057307 2.896744980 26.926443889 255 255 255 1.0
399 -31.114177382 4.047860324 104.222700922 255 255 255 1.0
400 -4.902240788 -0.899895049 110.523804657 255 255 255 1.0
401 27.509939207 -20.766428545 115.570793178 255 255 255 1.0
402 -2.141653839 -4.962075304 30.248553756 255 255 255 1.0
403 -3.062770994 -3.899943479 27.341481244 255 255 255 1.0
404 10.655398236 -11.895715413 71.563000723 255 255 255 1.0
405 0.440811366 -4.022121476 27.556107142 255 255 255 1.0
406 26.078949194 -23.164810072 114.771873435 255 255 255 1.0
407 -5.356066290 -3.431706963 26.423436992 255 255 255 1.0
408 11.030049411 -16.461852993 78.502871492 255 255 255 1.0
409 -7.402787157 -3.650683195 29.380479517 255 255 255 1.0
410 -8.697235024 -3.726921585 30.305746217 255 255 255 1.0
411 -0.005404546 -2.403880731 29.628778403 255 255 255 1.0
412 -3.613262220 2.087794659 27.151073110 255 255 255 1.0
413 -2.542410521 2.746020109 26.877559829 255 255 255 1.0
414 -0.052570393 -3.868036256 27.605001402 255 255 255 1.0
415 -0.404709283 -2.308815538 29.819750669 255 255 255 1.0
416 -3.598853000 -3.571532712 27.495674992 255 255 255 1.0
417 -2.590032722 2.899440971 32.562708155 255 255 255 1.0
418 -6.551489086 -19.242376168 84.759926233 255 255 255 1.0
419 -1.184253472 -5.748855410 31.471898301 255 255 255 1.0
420 9.378581022 -16.797665548 81.553503973 255 255 255 1.0
421 -1.884009724 -3.568749502 27.675707709 255 255 255 1.0
422 -2.523907475 2.891247663 26.877433511 255 255 255 1.0
423 -8.681758900 -3.490521351 30.471635028 255 255 255 1.0
424 1.316408999 -3.784883642 28.194049666 255 255 255 1.0
425 -6.441482339 -4.554394163 30.339614780 255 255 255 1.0
426 -8.312991479 -3.685044782 30.120072559 255 255 255 1.0
427 -8.572000497 -3.327624946 30.495890039 255 255 255 1.0
428 7.756850769 -4.018660648 60.534597851 255 255 255 1.0
429 4.604389463 -22.915031011 91.410002800 255 255 255 1.0
430 0.036298805 -4.693872869 28.944927075 255 255 255 1.0
431 -7.293723167 -4.463344052 31.358791068 255 255 255 1.0
432 -1.770232473 -3.439029759 27.883552860 255 255 255 1.0
433 3.560738884 -3.431183497 30.454084384 255 255 255 1.0
434 2.633937896 -3.667873969 29.567123666 255 255 255 1.0
435 -0.477263520 -21.328439702 85.534819511 255 255 255 1.0
436 11.762873504 -20.955776925 87.187819750 255 255 255 1.0
437 1.225185333 -3.922854210 28.028876130 255 255 255 1.0
438 -0.949658643 -3.289211878 25.372648770 255 255 255 1.0
439 -0.978255713 -21.008257135 92.006190149 255 255 255 1.0
440 -8.091418944 -4.313790370 30.952004456 255 255 255 1.0
441 -2.138299072 -8.011429935 34.477102339 255 255 255 1.0
442 -1.692719736 -3.820038379 27.550891968 255 255 255 1.0
