scene,pair,num_matches,inlier_count,inlier_ratio,reproj_rmse,status
arch,frame_106-frame_107,936,589,0.629,1.316,OK
arch,frame_107-frame_108,1127,712,0.632,1.035,OK
arch,frame_108-frame_109,901,515,0.572,1.437,OK
arch,frame_109-frame_110,1132,718,0.634,1.568,OK
arch,frame_110-frame_111,1152,686,0.595,0.988,OK
arch,frame_111-frame_112,1611,1076,0.668,0.789,OK
arch,frame_112-frame_113,1604,1075,0.67,0.716,OK
arch,frame_113-frame_114,1486,850,0.572,0.886,OK
arch,frame_114-frame_115,1408,854,0.607,1.88,OK
arch,frame_115-frame_116,1516,930,0.613,3.173,OK
arch,frame_116-frame_117,873,428,0.49,3.011,OK
arch,frame_117-frame_118,876,466,0.532,2.346,OK
arch,frame_118-frame_119,1137,692,0.609,4.307,OK
arch,frame_119-frame_120,936,579,0.619,0.923,OK
arch,frame_120-frame_121,1166,668,0.573,0.85,OK
arch,frame_121-frame_122,1074,535,0.498,0.735,OK
arch,frame_122-frame_123,1081,600,0.555,0.893,OK
arch,frame_124-frame_125,1293,841,0.65,0.864,OK
arch,frame_125-frame_126,1887,1177,0.624,1.057,OK
