pair,raw_points,kept_points,mean_reproj_err_px,median_angle_deg
frame_001-frame_003,1135,60,0.3495074250816965,0.8054598294236689
frame_003-frame_004,1259,150,0.40949720789602084,0.3111595895412124
frame_004-frame_005,1145,49,1.0901710048351698,0.031896005534707846
frame_005-frame_006,1233,88,0.5793681401997701,0.2721643833001283
frame_006-frame_007,1248,201,0.1597345917353829,0.08720489326337813
frame_007-frame_008,1230,261,0.37101535036179223,0.16190550774465934
frame_008-frame_009,1156,113,1.233051005443529,0.25341001410807423
frame_009-frame_010,1105,148,0.3146884301670411,0.06546953872688982
frame_010-frame_011,1193,89,0.8936144291578885,0.08979992737969675
frame_011-frame_012,1255,94,0.1791256208736099,0.03421004255211498
frame_012-frame_013,1226,80,0.19668564192853188,0.06891315245565621
frame_013-frame_014,1177,41,0.21870156420850984,0.05498172795251148
frame_014-frame_015,1257,237,0.5101340045341153,0.33780898849239704
frame_015-frame_016,1110,389,0.13956478359734498,0.08709361448201555
frame_016-frame_017,1136,64,0.2154249048325419,0.07994964161838683
frame_017-frame_018,1122,93,1.5249100195883663,1.002633998085952
frame_018-frame_019,1245,464,0.22961223259422348,0.23280440578165137
frame_019-frame_020,1116,18,0.1465741311592372,0.09996660241036234
frame_020-frame_021,1153,165,0.16114647848511598,0.2452449134000445
frame_021-frame_022,1242,214,0.13713225163855858,0.20365317674571026
frame_022-frame_023,1254,87,0.361162685799831,0.9453509665895152
frame_023-frame_024,1184,97,0.6787637375836342,0.9957064040038746
frame_024-frame_025,1198,138,0.28725617238898626,1.348359670615184
frame_025-frame_026,1228,272,0.13508087021924675,1.4081379704226247
frame_026-frame_027,1053,210,0.1747042062482024,1.3253280050799896
frame_027-frame_028,1199,69,0.5878756871020023,1.0855963435971054
frame_028-frame_029,1004,261,0.28837328050150446,1.623184909170651
frame_029-frame_030,1142,67,0.34388010460633034,1.310070755488467
frame_030-frame_031,1104,125,0.2782660356216402,1.2154753455767762
frame_031-frame_032,1278,221,0.28648299007082034,1.4719375353373412
frame_032-frame_033,1178,301,0.20580483341822775,1.712367326051925
frame_033-frame_034,1199,32,0.4410235386147805,0.8703998409371817
frame_034-frame_035,1234,28,0.37064416752844,0.8086098150724583
frame_035-frame_036,1139,449,0.13312774323841675,1.782308163517674
frame_036-frame_037,1177,159,0.6166895282419658,1.271809737832999
frame_037-frame_038,1133,76,0.22004657005561598,1.009045578737313
frame_038-frame_039,1165,70,0.26846905159283785,0.2823046447809357
frame_039-frame_040,1213,207,0.1390482066067774,1.466837218096122
frame_040-frame_041,1251,141,0.24340991953858127,1.045803967874064
frame_041-frame_042,1183,193,0.2658015630322837,1.2543553434599932
frame_042-frame_043,1209,102,0.6935064819688537,1.2248463661375157
frame_043-frame_044,1121,142,0.31610519491296807,1.2242210299970557
frame_044-frame_045,1256,95,0.26653379703219554,0.9859536457969935
frame_045-frame_046,1132,160,0.20575772433667489,1.3091271434056018
frame_046-frame_047,1217,445,0.13311953544943225,1.761559701703596
frame_047-frame_048,1228,172,0.2731125435980306,1.3543503160489552
frame_048-frame_051,1050,535,0.13221482836755186,2.0308873690059954
frame_051-frame_052,1199,160,0.21839107506051195,0.17887985411653431
frame_052-frame_053,1086,77,0.12162539410411777,0.09311519561258524
frame_053-frame_054,1264,461,0.4745041765485105,0.029400128004358716
frame_054-frame_055,1187,27,0.2605447540279068,0.055237436809515865
frame_055-frame_056,1178,2,0.4148098581101287,0.04986701078630721
frame_056-frame_057,1147,27,0.6251490775039041,0.09651696326875787
frame_057-frame_058,1133,0,nan,0.019118798865225953
frame_058-frame_059,1143,144,0.29897651082838905,1.4224290110870683
frame_059-frame_060,1249,66,0.23737354167912197,0.2643388166906358
frame_060-frame_061,1089,6,2.4112812877752163,0.175846815032612
frame_061-frame_062,1211,347,0.23373267179290402,0.10289836639458
frame_062-frame_063,1241,399,0.19030817041075704,0.061159261548447315
frame_063-frame_064,1249,77,0.34096809373551895,0.27575170853183867
frame_064-frame_065,1253,428,0.152151051640048,0.09015123355626334
frame_065-frame_066,1128,23,0.2298969214214449,0.10989637752015413
frame_066-frame_067,1224,11,0.3261884375756674,0.22230330434775958
frame_067-frame_068,1167,144,0.5591859800047989,0.9295405287240438
frame_068-frame_069,1124,126,0.2312883532801829,0.3952104295936886
frame_069-frame_070,1307,203,0.16472859061363235,0.3566343334310434
frame_070-frame_071,1252,302,0.11556904193628495,0.2678666017810627
frame_071-frame_072,1187,291,0.1792996143940812,0.3413675320103591
frame_072-frame_073,1301,68,0.17152423620971585,0.05526216145098537
frame_073-frame_074,1300,224,0.4317633741673207,0.17058727972112087
frame_074-frame_075,1340,504,0.12330186155959688,0.14508061916948672
frame_075-frame_076,1198,16,1.9404338165648145,0.20075824306138662
frame_076-frame_077,1230,2,0.2992368147923101,0.13516748995547628
frame_077-frame_078,1321,13,1.2527060331945883,0.18552187731285624
frame_078-frame_080,1291,0,nan,0.3443956211121905
frame_080-frame_081,1144,61,0.7958938918265983,0.17047861940668446
frame_081-frame_082,1221,175,0.2808517943487153,0.2159357688444608
frame_082-frame_083,1192,417,0.2324688076639937,0.14471200694911732
frame_083-frame_084,1096,396,0.13483074414325824,0.21924725161142836
frame_084-frame_085,1296,97,0.7250404573457871,0.21094934259955855
frame_085-frame_086,1239,489,0.5647343828871867,0.38742774155703025
frame_086-frame_087,1256,281,0.1468855315114862,0.5192866195551384
frame_087-frame_088,1302,1,0.8825179893087747,0.08080007430931804
frame_088-frame_089,1301,165,0.3879243028338297,0.19812235341702777
frame_089-frame_090,1206,352,0.3431303341121597,0.3065330931312632
frame_090-frame_091,1307,188,0.27682364123406983,0.28516774211566676
frame_091-frame_092,1155,366,0.16230807843058237,0.2425388361586098
frame_092-frame_093,1319,510,0.10766618029394474,0.37387528547421556
frame_093-frame_094,1338,88,0.947591733151735,0.287362593327497
frame_094-frame_095,1312,188,0.342982828046148,0.17847989209672505
frame_095-frame_096,1169,469,0.18939938597122327,0.27594551641462944
frame_096-frame_097,1196,178,0.18776602415187943,0.20172589507109095
frame_097-frame_098,1353,363,0.10931772722268959,0.1298427151824773
frame_098-frame_099,1213,288,0.27275936818415547,0.3777007447177131
